date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:39:44	12215/12215	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20Aug%202022%2004:09:43%20GMT	http://hms.rguktsklm.ac.in/home.php	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/home.html	(from )
09:39:45	673/673	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2003%20Aug%202022%2004:09:44%20GMT	http://hms.rguktsklm.ac.in/robots.txt		(from )
09:39:46	6391/6391	---M--	200	added ('OK')	image/png	etag:%22a123e9b-18f7-5a41246381380%22	http://hms.rguktsklm.ac.in/imgs/logo.png	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/imgs/logo.png	(from http://hms.rguktsklm.ac.in/home.php)
09:39:46	26717/26717	---M-Z	200	added ('OK')	text/css	etag:%22a121764-685d-5d73f18f46020-gzip%22	http://hms.rguktsklm.ac.in/css/style.css	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/css/style.css	(from http://hms.rguktsklm.ac.in/home.php)
09:39:46	6090/6090	---M-Z	200	added ('OK')	text/css	etag:%22a123e7f-17ca-5a4248255eb00-gzip%22	http://hms.rguktsklm.ac.in/css/mobile.css	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/css/mobile.css	(from http://hms.rguktsklm.ac.in/home.php)
09:39:47	45851/45851	---M-Z	200	added ('OK')	text/css	etag:%22a123e7e-b31b-5a41246381380-gzip%22	http://hms.rguktsklm.ac.in/css/fontawesome-all.css	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/css/fontawesome-all.css	(from http://hms.rguktsklm.ac.in/home.php)
09:39:48	9184/9184	---M--	200	added ('OK')	image/png	etag:%22a123e8f-23e0-5a41246381380%22	http://hms.rguktsklm.ac.in/imgs/bars2.png	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/imgs/bars2.png	(from http://hms.rguktsklm.ac.in/home.php)
09:39:49	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2003%20Aug%202022%2004:09:48%20GMT	http://hms.rguktsklm.ac.in/notices.php	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/notices.php	(from http://hms.rguktsklm.ac.in/home.php)
09:39:49	55183/55183	---MCZ	200	added ('OK')	text/css	etag:W/%2277cbad34e5ce95e70847b074e05faeab%22	https://use.fontawesome.com/releases/v5.8.2/css/all.css	C:/My%20Web%20Sites/qqqqqqqqqq/use.fontawesome.com/releases/v5.8.2/css/all.css	(from http://hms.rguktsklm.ac.in/home.php)
09:39:49	5905/5905	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20Aug%202022%2004:09:48%20GMT	http://hms.rguktsklm.ac.in/notices.php?page=1	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/notices2679.html	(from http://hms.rguktsklm.ac.in/home.php)
09:39:50	17817/17817	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20Aug%202022%2004:09:49%20GMT	http://hms.rguktsklm.ac.in/about.php	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/about.html	(from http://hms.rguktsklm.ac.in/home.php)
09:39:50	5696/5696	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20Aug%202022%2004:09:49%20GMT	http://hms.rguktsklm.ac.in/forgot.php	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/forgot.html	(from http://hms.rguktsklm.ac.in/home.php)
09:39:53	21312/21312	---M--	200	added ('OK')	image/png	etag:%22a123e96-5340-5c6568c3f5080%22	http://hms.rguktsklm.ac.in/imgs/dir.png	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/imgs/dir.png	(from http://hms.rguktsklm.ac.in/home.php)
09:39:53	197/197	---M-Z	200	added ('OK')	application/javascript	etag:%22a123714-c5-5a41246381380-gzip%22	http://hms.rguktsklm.ac.in/js/main.js	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/js/main.js	(from http://hms.rguktsklm.ac.in/home.php)
09:39:54	673/673	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2003%20Aug%202022%2004:09:53%20GMT	http://hms.rguktsklm.ac.in/url	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/url	(from http://hms.rguktsklm.ac.in/home.php)
09:39:56	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:%22a123713-1538f-5a41246381380-gzip%22	http://hms.rguktsklm.ac.in/js/jquery-3.3.1.min.js	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/js/jquery-3.3.1.min.js	(from http://hms.rguktsklm.ac.in/home.php)
09:40:00	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2003%20Aug%202022%2004:09:53%20GMT	https://img1.wsimg.com/tcc/tcc_l.combined.1.0.6.min.js	C:/My%20Web%20Sites/qqqqqqqqqq/img1.wsimg.com/tcc/tcc_l.combined.1.0.6.min.11.delayed	(from http://hms.rguktsklm.ac.in/home.php)
09:40:06	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2003%20Aug%202022%2004:09:59%20GMT	https://img1.wsimg.com/traffic-assets/js/tccl.min.js	C:/My%20Web%20Sites/qqqqqqqqqq/img1.wsimg.com/traffic-assets/js/tccl.min.js	(from http://hms.rguktsklm.ac.in/home.php)
09:40:11	210543/210543	---M--	200	added ('OK')	image/png	etag:%22a123e8c-3366f-5c656a1d2ff00%22	http://hms.rguktsklm.ac.in/imgs/aosklm.png	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/imgs/aosklm.png	(from http://hms.rguktsklm.ac.in/home.php)
09:40:22	45537/45537	---M-Z	200	added ('OK')	application/javascript	etag:%22362d20193a8fed115f99b16a157b7fc4%22	https://img6.wsimg.com/wrhs/362d20193a8fed115f99b16a157b7fc4/tccl.min.js	C:/My%20Web%20Sites/qqqqqqqqqq/img6.wsimg.com/wrhs/362d20193a8fed115f99b16a157b7fc4/tccl.min.js	(from http://hms.rguktsklm.ac.in/home.php)
09:40:22	673/673	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2003%20Aug%202022%2004:10:21%20GMT	http://hms.rguktsklm.ac.in/fonts/texts.ttf	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/fonts/texts.16.delayed	(from http://hms.rguktsklm.ac.in/css/style.css)
09:40:28	45244/45244	---M--	200	added ('OK')	font/ttf	etag:%22a123e88-b0bc-5a41246381380%22	http://hms.rguktsklm.ac.in/fonts/titles.ttf	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/fonts/titles.ttf	(from http://hms.rguktsklm.ac.in/css/style.css)
